@@,itemlabel,item,startdate,enddate
---,José Joaquín de Olmedo,Q981503,1820-10-09,1822-07-11
---,José Joaquín de Olmedo,Q981503,1839,1840
+++,Rafael Guerrero Valenzuela,Q16624108,1947,1949
+++,Rafael Guerrero Valenzuela,Q16624108,1949,1951
+++,Carlos Guevara Moreno,Q109423464,1951,1952
+++,Alberto Ordeñana Cortés,,1951,
+++,Rafael Mendoza Avilés,Q26962137,1952,1953
+++,Pedro Menéndez Gilbert,,1953,1954
+++,Emilio Estrada Icaza,,1954,1955
+++,Emilio Estrada Icaza,,1955,1956
+++,Gilberto Mosquera Ferrés,,1956,1957
+++,Amalio Puga Pastor,Q24961635,1957,
+++,Luis Robles Plaza,,1957,1959
+++,Pedro Menéndez Gilbert,,1959,1961
+++,Otto Quintero Rumbea,,1961,1962
+++,Assad Bucaram Elmhalin,Q738568,1962,1963
+++,Carlos Luis Plaza Dañín,Q27050183,1963,1964
+++,Juan J. Paz Olmedo,,1963,
+++,Jorge Hurel Cepeda,,1964,1965
+++,Edmundo Mena Salvador,,1964,
+++,Jorge Higgins Jaramillo,,1965,1966
+++,Guillermo Cubillo Renella,,1965,
+++,Roberto Serrano Rolando,,1966,1967
+++,Joaquín Orrantia González,,1966,
+++,Assad Bucaram Elmhalin,Q738568,1967,1970
+++,Francisco Huerta Montalvo,Q23499076,1970,
+++,Enrique Grau Ruiz,,1970,1972
+++,Juan J. Vilaseca Valls,,1972,1973
+++,Juan Péndola Avegno,Q14556931,1973,1976
+++,Eduardo Moncayo Mármol,,1976,1977
+++,Raúl Baca Carbo,Q16297568,1977,1978
+++,Antonio Hanna Musse,,1978,1982
+++,Vicente Norero de Lucca,,1978,
+++,Jaime Macías Rivas,,1978,
+++,Guillermo Molina Defranc,,1978,
+++,Juan Paulson Andrade,,1978,
+++,Bolívar Cali Bajaña,Q27058638,1982,1984
->,Abdalá Bucaram->Abdalá Bucaram Ortiz,Q307701,1984-08-10->1984,1985-09->1985
+++,Jorge Norero González,Q27575189,1985,1986
+++,Jorge Perrone Galarza,Q6278470,1986,1988
+++,Elsa Bucaram Ortiz,Q5830001,1988-08-10,1991-05-19
+++,Harry Soria Lamán,Q5892533,1991-05-19,1992-08-10
+++,León Febres-Cordero Ribadeneyra,Q471324,1992-08-10,1996-08-10
+++,León Febres-Cordero Ribadeneyra,Q471324,1996-08-10,2000-08-10
->,Jaime Nebot->Jaime Nebot Saadi,Q6123864,2000-08-10,2019-05-14->2005-01-05
+++,Jaime Nebot Saadi,Q6123864,2005-01-05,2009-07-31
+++,Jaime Nebot Saadi,Q6123864,2009-07-31,2014-05-14
+++,Jaime Nebot Saadi,Q6123864,2014-05-14,2019-05-14
->,Cynthia Viteri->Cynthia Viteri Jiménez,Q3008822,2019-05-14,
