item,itemLabel,startDate,endDate,psid
Q27058638,Bolívar Cali Bajaña,1982,1984,Q27058638-3A940B30-4C6A-4AD3-82D1-05E73160DB4C
Q27575189,Jorge Norero González,1985,1986,Q27575189-48577CD5-6563-4742-B75C-66E6B923F9C2
Q3008822,Cynthia Viteri,2019-05-14,,Q3008822-7cde5414-4831-60eb-b7c1-3c3f1555a321
Q307701,Abdalá Bucaram,1984-08-10,1985-09,Q307701-73078562-4ea7-4967-63aa-fe9a20400a65
Q471324,León Febres-Cordero Ribadeneyra,1992-08-10,2000-08-10,Q471324-0A6733B8-9554-45A1-BC22-0DEB03DA87A0
Q5830001,Elsa Bucaram,1988-08-10,1991-05-19,Q5830001-34ACA521-0A58-4BCD-B66E-26A378B780D7
Q5892533,Harry Soria Lamán,1991-05-19,1992-08-10,Q5892533-21CA3597-031F-4122-A637-C6B2E5CEA251
Q6123864,Jaime Nebot,2000-08-10,2019-05-14,Q6123864-9de927b9-4c37-60fe-109d-c204d8e233e5
Q6278470,Jorge Perrone Galarza,1986,1988,Q6278470-0772F3A9-78A9-4757-87C4-B2EAD7391AC1
Q981503,José Joaquín de Olmedo,1839,1840,Q981503-13f31e6b-46bb-05af-16af-4d1525d334d5
Q981503,José Joaquín de Olmedo,1820-10-09,1822-07-11,Q981503-2226a297-4cb9-9109-4734-a49b253f82d2
